Date, Open, High, Low,Close, Volume
10/18/19,28,28.5,28,28.25,3182300
10/17/19,27.9,28.5,27.85,28.45,5111400
10/16/19,28,28,27,27.9,8243800
10/15/19,28,28.3,27.7,27.9,502000
10/14/19,28,28.45,27.9,28,1129700
10/11/19,29,29,28.2,28.45,4501800
10/09/19,28,28.45,28,28.3,3544700
10/08/19,28,28.35,28,28.2,1733300
10/07/19,27.75,28.55,27.75,27.85,4762700
10/04/19,28.05,28.5,27.8,28.05,9273300
10/03/19,27.8,28.2,27.8,28.1,5614900
10/02/19,27.55,28,27.5,27.65,8347100
10/01/19,27.25,27.75,27.25,27.55,8742600
09/30/19,27.2,28,27.2,27.5,1392200
09/27/19,27.15,27.4,27.1,27.1,6838100
09/26/19,27.5,27.5,27,27.15,2459600
09/25/19,28,28,27.4,27.55,30531000
09/24/19,27.5,27.75,27.35,27.5,4280400
09/23/19,27.5,27.6,27.4,27.5,1195000
09/20/19,27.5,28,27.25,27.35,5855100
09/19/19,27.15,27.5,27.15,27.2,2746200
09/18/19,27.2,27.5,27.15,27.25,1076700
09/17/19,27.5,27.7,27.05,27.15,5055900
09/16/19,27.1,27.35,27.1,27.2,1356000
09/13/19,27.1,27.4,27.05,27.15,1513000
09/12/19,28,28,27.05,27.15,1167400
09/11/19,27,27.4,26.95,27.05,14255500
09/10/19,26.9,27.05,26.9,26.95,3275100
09/09/19,26.85,26.95,26.7,26.85,2307800
09/06/19,27,27,26.5,26.8,9506900
09/05/19,28.5,28.5,26.7,26.85,19366301
09/04/19,26.2,27,26.2,26.65,12551400
09/03/19,25.55,26.7,25.55,26.2,5592600
09/02/19,28.05,28.3,27.2,28.05,12684500
08/30/19,28.25,28.3,28,28.15,3348700
08/29/19,28,28.4,28,28.25,1409800
08/28/19,29,29,27.95,28,2320900
08/27/19,28.2,28.3,28.05,28.2,4926000
08/26/19,28.9,28.9,28,28.3,1395100
08/23/19,29.1,29.1,28.75,28.9,220300
08/22/19,29.1,29.2,28.95,29,20130900
08/21/19,29.3,29.35,28.95,29.1,4233900
08/20/19,29.9,29.9,28.95,29.3,33724500
08/19/19,29.3,29.55,29,29.45,13620300
08/16/19,28.75,29.6,28.65,29.2,23352400
08/15/19,28.55,28.75,27.7,28.5,11502100
08/14/19,27.65,28.15,27.65,28,6576500
08/13/19,27.65,28.15,27.5,27.9,4050300
08/09/19,27.3,28,27.2,27.65,10389600
08/08/19,27.05,27.5,27.05,27.3,2832400
08/07/19,27.5,27.5,27,27.2,6139400
08/06/19,27.6,27.6,27.3,27.45,3597900
08/05/19,27.65,27.65,27.5,27.6,1618800
08/02/19,28,28,27.5,27.6,1658600
08/01/19,27.5,28,27.5,27.55,2423000
07/31/19,27.5,27.55,27.25,27.4,10863000
07/30/19,27.6,27.6,27.4,27.45,6603600
07/29/19,27.55,27.75,27.5,27.55,898600
07/26/19,27.8,27.8,27.5,27.6,5645900
07/25/19,27.7,27.95,27.35,27.5,12020100
07/24/19,27.5,27.8,27.35,27.5,7562800
07/23/19,28,28,27.2,27.25,6862500
07/22/19,28,28,27.5,27.8,3407400
07/19/19,27.65,28,27.65,27.85,1880000
07/18/19,28,28,27.5,27.75,9863600
07/17/19,27.5,28.05,27.5,27.95,8950600
07/16/19,27.5,28,27.3,27.7,3400800
07/15/19,27.75,27.75,27.25,27.5,2829400
07/12/19,27.75,28.1,27.5,27.75,3066200
07/11/19,27.15,27.8,27.15,27.45,594900
07/10/19,27.5,27.75,27.2,27.5,2979900
07/09/19,27.5,27.5,27,27,10079500
07/08/19,28,28,27.2,27.55,2563400
07/05/19,30,30,27.55,27.85,14249700
07/04/19,28.2,28.2,27.45,27.75,3643000
07/03/19,28.2,28.3,28,28.15,6185400
07/02/19,28.3,28.3,28,28.15,7980200
07/01/19,27.7,28.55,27.35,28.15,4827100
06/28/19,27.6,28.35,27.6,28.1,24611100
06/27/19,27.55,28,27.55,27.55,5346200
06/26/19,27.45,27.9,27.4,27.5,3242100
06/25/19,27.3,28,27.3,27.45,8705800
06/24/19,27.15,27.35,27.15,27.3,4054300
06/21/19,27.5,27.5,27.15,27.25,1207600
06/20/19,27,27.5,27,27.15,9180300
06/19/19,27.25,27.3,27,27,18546400
06/18/19,27.5,27.65,27.1,27.3,9906500
06/17/19,27.3,27.35,27.1,27.25,20526801
06/14/19,27.5,27.5,27.05,27.2,5297100
06/13/19,27.5,27.7,27.1,27.35,22555699
06/12/19,27.6,27.65,27.3,27.5,22670801
06/11/19,27.5,27.7,27.2,27.55,1708000
06/10/19,27.1,27.6,27.05,27.45,1330100
06/07/19,27.9,27.9,27.1,27.4,1781200
06/06/19,27.7,28,27.65,27.7,8481500
06/04/19,27.65,27.8,27.6,27.7,6881000
06/03/19,27.4,27.8,27.4,27.65,1891100
05/31/19,27.65,27.65,27,27.45,7496300
05/30/19,27.8,27.8,27.4,27.65,11923400
